player_id,名前,年度,所属球団,登板,勝利,敗戦,セーブ,ホールド,HP,完投,完封,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率,投手WAR,FIP,WHIP,K/BB,K-BB%,K/9,BB/9,ランク
61765153,河村　説人,2022,千葉ロッテ,4,2,0,0,0,0,0,0,0,1,82,19,18,1,10,0,9,1,0,7,7,3.32,-0.05,4.44,1.47,0.9,-1.2,4.26,4.74,B
61765153,河村　説人,2025,千葉ロッテ,4,2,1,0,0,0,0,0,0,0.667,90,21,17,1,8,2,14,0,0,9,6,2.57,0.09,3.83,1.19,1.75,6.7,6.0,4.29,B
61865136,森　遼大朗,2022,千葉ロッテ,3,0,1,0,0,0,0,0,0,0,39,8,11,1,5,0,4,0,0,9,9,10.12,-0.13,5.62,2.0,0.8,-2.6,4.5,5.62,B
61865136,森　遼大朗,2023,千葉ロッテ,7,1,4,0,0,0,0,0,0,0.2,153,33,41,3,10,2,29,0,0,23,22,6,0.21,3.64,1.55,2.9,12.4,7.91,3.27,B
71275134,種市　篤暉,2018,千葉ロッテ,7,0,4,0,0,0,1,0,0,0,169,38.1,42,5,13,1,28,4,0,28,26,6.1,-0.11,4.45,1.43,2.15,8.9,6.57,3.29,B
71275134,種市　篤暉,2019,千葉ロッテ,26,8,2,0,2,2,0,0,0,0.8,506,116.2,114,11,51,2,135,5,0,47,42,3.24,1.04,3.39,1.41,2.65,16.6,10.41,4.09,B
71275134,種市　篤暉,2020,千葉ロッテ,7,3,2,0,0,0,1,1,0,0.6,198,46.2,43,7,15,5,41,0,0,18,18,3.47,-0.21,4.6,1.24,2.73,13.1,7.91,3.86,B
71275134,種市　篤暉,2022,千葉ロッテ,1,0,0,0,0,0,0,0,0,0,16,3,5,1,4,0,2,1,0,3,3,9,-0.2,10.12,3.0,0.5,-12.5,6.0,12.0,B
71275134,種市　篤暉,2023,千葉ロッテ,23,10,7,0,0,0,0,0,0,0.588,571,136.2,124,12,45,7,157,3,0,56,52,3.42,1.66,3.11,1.24,3.49,19.6,10.34,3.42,A
71275134,種市　篤暉,2024,千葉ロッテ,23,7,8,0,0,0,2,0,1,0.467,612,147.1,128,5,38,9,148,4,1,55,50,3.05,2.77,2.51,1.13,3.89,18.0,9.04,2.87,A
71275134,種市　篤暉,2025,千葉ロッテ,24,9,8,0,0,0,2,0,0,0.529,666,160.2,134,13,50,6,161,9,0,55,47,2.63,1.76,3.21,1.15,3.22,16.7,9.02,3.14,A
71275153,鈴木　昭汰,2021,千葉ロッテ,23,1,4,0,1,1,0,0,0,0.2,341,79.1,78,10,28,2,76,2,0,38,36,4.08,0.2,3.98,1.34,2.71,14.1,8.62,3.4,B
71275153,鈴木　昭汰,2022,千葉ロッテ,6,1,3,0,0,0,0,0,0,0.25,65,12.1,22,1,9,0,5,0,0,10,10,7.3,-0.19,5.55,2.51,0.56,-6.2,3.65,6.57,B
71275153,鈴木　昭汰,2023,千葉ロッテ,13,0,0,0,0,0,0,0,0,0,67,16.1,12,2,7,0,13,0,0,8,5,2.76,-0.04,4.41,1.16,1.86,9.0,7.16,3.86,B
71275153,鈴木　昭汰,2024,千葉ロッテ,51,2,2,5,27,29,0,0,0,0.5,194,49.1,32,2,18,1,42,1,0,7,4,0.73,0.6,3.1,1.01,2.33,12.4,7.66,3.47,B
71275153,鈴木　昭汰,2025,千葉ロッテ,29,1,3,5,14,15,0,0,0,0.25,122,28,32,1,8,2,27,2,0,15,15,4.82,0.46,2.73,1.43,3.38,15.6,8.68,3.21,B
71675135,益田　直也,2012,千葉ロッテ,72,2,2,1,41,43,0,0,0,0.5,308,75.1,61,2,19,2,57,2,0,25,14,1.67,1.18,2.79,1.06,3.0,12.3,6.81,2.51,B
71675135,益田　直也,2013,千葉ロッテ,68,2,6,33,9,11,0,0,0,0.25,268,62,65,3,16,4,66,3,0,24,19,2.76,1.11,2.59,1.31,4.12,18.7,9.58,2.9,B
71675135,益田　直也,2014,千葉ロッテ,52,7,3,1,23,30,0,0,0,0.7,226,51,56,3,16,2,57,2,0,28,28,4.94,0.85,2.71,1.41,3.56,18.1,10.06,3.18,B
71675135,益田　直也,2015,千葉ロッテ,51,3,2,0,11,14,0,0,0,0.6,227,53,48,2,21,2,42,7,0,23,23,3.91,0.51,3.33,1.3,2.0,9.3,7.13,3.91,B
71675135,益田　直也,2016,千葉ロッテ,61,3,2,14,21,24,0,0,0,0.6,238,59,53,2,16,0,36,1,0,13,12,1.83,0.69,3.15,1.17,2.25,8.4,5.49,2.44,B
71675135,益田　直也,2017,千葉ロッテ,38,0,4,9,6,6,0,0,0,0,162,35.1,46,8,15,0,29,1,0,20,20,5.09,-0.59,5.7,1.73,1.93,8.6,7.39,3.82,B
71675135,益田　直也,2018,千葉ロッテ,70,2,6,3,17,19,0,0,0,0.25,264,64.1,44,6,27,3,61,2,0,26,22,3.08,0.26,3.84,1.1,2.26,12.9,8.53,4.2,B
71675135,益田　直也,2019,千葉ロッテ,60,4,5,27,12,16,0,0,0,0.444,229,58.2,36,5,22,2,56,1,0,15,14,2.15,0.43,3.55,0.99,2.55,14.8,8.59,3.68,B
71675135,益田　直也,2020,千葉ロッテ,54,3,5,31,5,8,0,0,0,0.375,214,52,42,1,17,2,53,4,0,15,13,2.25,1.02,2.43,1.13,3.12,16.8,9.17,3.29,B
71675135,益田　直也,2021,千葉ロッテ,67,3,6,38,0,3,0,0,0,0.333,248,64.1,43,5,15,0,68,2,0,17,16,2.24,1.06,2.72,0.9,4.53,21.4,9.51,2.1,B
71675135,益田　直也,2022,千葉ロッテ,52,1,2,25,8,9,0,0,0,0.333,224,52,46,6,19,3,47,8,0,21,19,3.29,0.07,4.08,1.25,2.47,12.5,8.13,3.81,B
71675135,益田　直也,2023,千葉ロッテ,58,2,5,36,13,15,0,0,0,0.286,222,53.1,49,9,14,1,54,4,0,23,22,3.71,0.04,4.13,1.18,3.86,18.0,9.11,2.53,B
71675135,益田　直也,2024,千葉ロッテ,44,1,4,25,6,7,0,0,0,0.2,172,41.2,27,2,14,3,35,2,0,16,12,2.59,0.42,3.29,0.98,2.5,12.2,7.56,3.67,B
