player_id,名前,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率,野手WAR,wOBA,wRC+,OPS,ISOp,ランク
11715153,小川　龍成,2024,千葉ロッテ,119,313,261,33,63,2,0,0,65,21,10,1,20,2,30,0,52,2,0.241,0.249,0.317,-1.74,.243,79,.546,.008,B
11715153,小川　龍成,2025,千葉ロッテ,87,202,178,14,47,2,0,0,49,13,9,3,8,1,12,3,33,4,0.264,0.275,0.32,-0.88,.257,83,.582,.011,B
13115151,本前　郁也,2021,千葉ロッテ,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,.000,0,.000,.000,B
13115151,本前　郁也,2022,千葉ロッテ,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-0.05,.000,0,.000,.000,B
21125155,池田　来翔,2022,千葉ロッテ,11,22,22,1,2,1,0,0,3,0,0,0,0,0,0,0,6,0,0.091,0.136,0.091,-0.4,.095,30,.227,.045,B
21125155,池田　来翔,2023,千葉ロッテ,40,118,104,17,28,6,1,2,42,8,0,0,5,0,6,3,17,1,0.269,0.404,0.327,-0.09,.301,97,.717,.135,B
21125155,池田　来翔,2024,千葉ロッテ,21,46,45,2,5,2,0,0,7,1,0,0,0,0,1,0,7,2,0.111,0.156,0.13,-0.71,.124,40,.286,.044,B
21125155,池田　来翔,2025,千葉ロッテ,83,249,227,22,54,11,0,5,80,20,2,1,4,3,11,4,45,8,0.238,0.352,0.282,-0.89,.267,86,.630,.115,B
21525116,唐川　侑己,2008,千葉ロッテ,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,.000,0,.000,.000,B
21525116,唐川　侑己,2009,千葉ロッテ,22,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.1,.000,0,.000,.000,B
21525116,唐川　侑己,2010,千葉ロッテ,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,.000,0,.000,.000,B
21525116,唐川　侑己,2011,千葉ロッテ,24,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,-0.13,.000,0,.000,.000,B
21525116,唐川　侑己,2012,千葉ロッテ,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-0.1,.000,0,.000,.000,B
21525116,唐川　侑己,2013,千葉ロッテ,27,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,-0.13,.000,0,.000,.000,B
21525116,唐川　侑己,2015,千葉ロッテ,12,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.05,.000,0,.000,.000,B
